Table 4. Canonical Hash Values of Minimum Weight Codeword Subgraphs for APN Functions over F2^6,,
Field,APN Function,Canonical Hash Value
F2^6,1,[N287f9fd4 3faa0d40 57762009]
F2^6,2,[N5ba497ca 2e6a3a39 78ed8205]
F2^6,3,[N1f541b86 59715093 3c74901c]
F2^6,4,[N41497616 24217cbe 4468c271]
F2^6,5,[N255e4233 6c53de93 7997b59e]
F2^6,6,[N347923d7 6a46d090 42df2444]
F2^6,7,[N35e218b6 2b81773f 20f19c3a]
F2^6,8,[N457d1ea2 418c3cb4 1ece9881]
F2^6,9,[N2e8667b8 68018e5b 679b4623]
F2^6,10,[N70f653d1 62eb799c 99b799b]
F2^6,11,[N336492fc 1a473596 3b3d4c45]
F2^6,12,[N6a04b38 1e50e942 494cd186]
F2^6,13,[N2a4d0b2d 2f0a8c94 1c0e6aca]
